6.0954248464639664e-05, 0.079(29)
0.012557906536041405, 0.119(37)
0.025054858823618176, 0.162(40)
0.037551811111194947, 0.207(43)
0.05004876339877172, 0.253(46)
0.0625457156863485, 0.302(50)
0.07504266797392524, 0.354(54)
0.08753962026150201, 0.407(58)
0.10003657254907876, 0.463(62)
0.11253352483665557, 0.522(67)
0.1250304771242323, 0.584(73)
0.1375274294118091, 0.648(78)
0.15002438169938587, 0.715(85)
0.16252133398696264, 0.786(92)
0.1750182862745394, 0.86(10)
0.18751523856211616, 0.94(11)
0.2000121908496929, 1.02(12)
0.2125091431372697, 1.10(13)
0.2250060954248465, 1.19(14)
0.23750304771242314, 1.29(15)
0.25, 1.38(16)

6.0954248464639664e-05, 0.074(29)
0.012557906536041405, 0.113(39)
0.025054858823618176, 0.156(43)
0.037551811111194947, 0.201(46)
0.05004876339877172, 0.248(50)
0.0625457156863485, 0.297(53)
0.07504266797392524, 0.349(58)
0.08753962026150201, 0.403(62)
0.10003657254907876, 0.459(67)
0.11253352483665557, 0.518(73)
0.1250304771242323, 0.580(79)
0.1375274294118091, 0.645(85)
0.15002438169938587, 0.712(92)
0.16252133398696264, 0.78(10)
0.1750182862745394, 0.86(11)
0.18751523856211616, 0.94(12)
0.2000121908496929, 1.02(13)
0.2125091431372697, 1.10(14)
0.2250060954248465, 1.19(15)
0.23750304771242314, 1.29(17)
0.25, 1.38(18)

6.0954248464639664e-05, 0.073(31)
0.012557906536041405, 0.112(43)
0.025054858823618176, 0.155(46)
0.037551811111194947, 0.201(50)
0.05004876339877172, 0.248(54)
0.0625457156863485, 0.297(58)
0.07504266797392524, 0.349(63)
0.08753962026150201, 0.403(68)
0.10003657254907876, 0.460(74)
0.11253352483665557, 0.519(80)
0.1250304771242323, 0.581(86)
0.1375274294118091, 0.646(94)
0.15002438169938587, 0.71(10)
0.16252133398696264, 0.79(11)
0.1750182862745394, 0.86(12)
0.18751523856211616, 0.94(13)
0.2000121908496929, 1.02(14)
0.2125091431372697, 1.11(15)
0.2250060954248465, 1.20(17)
0.23750304771242314, 1.29(18)
0.25, 1.39(20)

6.0954248464639664e-05, 0.076(29)
0.012557906536041405, 0.114(39)
0.025054858823618176, 0.156(42)
0.037551811111194947, 0.200(45)
0.05004876339877172, 0.245(49)
0.0625457156863485, 0.293(52)
0.07504266797392524, 0.343(56)
0.08753962026150201, 0.395(61)
0.10003657254907876, 0.449(65)
0.11253352483665557, 0.505(70)
0.1250304771242323, 0.565(76)
0.1375274294118091, 0.626(82)
0.15002438169938587, 0.691(89)
0.16252133398696264, 0.758(96)
0.1750182862745394, 0.83(10)
0.18751523856211616, 0.90(11)
0.2000121908496929, 0.98(12)
0.2125091431372697, 1.06(13)
0.2250060954248465, 1.14(14)
0.23750304771242314, 1.23(16)
0.25, 1.32(17)

6.0954248464639664e-05, 0.070(30)
0.012557906536041405, 0.109(42)
0.025054858823618176, 0.151(46)
0.037551811111194947, 0.195(49)
0.05004876339877172, 0.241(53)
0.0625457156863485, 0.289(57)
0.07504266797392524, 0.339(61)
0.08753962026150201, 0.391(66)
0.10003657254907876, 0.446(71)
0.11253352483665557, 0.503(77)
0.1250304771242323, 0.563(83)
0.1375274294118091, 0.625(90)
0.15002438169938587, 0.690(98)
0.16252133398696264, 0.76(11)
0.1750182862745394, 0.83(11)
0.18751523856211616, 0.90(12)
0.2000121908496929, 0.98(14)
0.2125091431372697, 1.06(15)
0.2250060954248465, 1.15(16)
0.23750304771242314, 1.23(17)
0.25, 1.33(19)

6.0954248464639664e-05, 0.069(31)
